path,wsi,is_valid,label
./rcc_dataset/10X/KN-8426/KN-8426_163.tif,KN-8426,0,2
./rcc_dataset/10X/BP-4160/BP-4160_169.tif,BP-4160,0,0
./rcc_dataset/10X/CJ-4900/CJ-4900_47.tif,CJ-4900,0,0
./rcc_dataset/10X/B0-4707/B0-4707_144.tif,B0-4707,0,0
./rcc_dataset/10X/CZ-4864/CZ-4864_13.tif,CZ-4864,0,0
./rcc_dataset/10X/KN-8433/KN-8433_119.tif,KN-8433,0,2
./rcc_dataset/10X/P4-A5EB/P4-A5EB_169.tif,P4-A5EB,0,1
./rcc_dataset/10X/KN-8424/KN-8424_160.tif,KN-8424,0,2
./rcc_dataset/10X/BP-4986/BP-4986_10.tif,BP-4986,0,0
./rcc_dataset/10X/NP-A5GZ/NP-A5GZ_140.tif,NP-A5GZ,0,2
./rcc_dataset/10X/AT-A5NU/AT-A5NU_65.tif,AT-A5NU,0,1
./rcc_dataset/10X/G7-6790/G7-6790_43.tif,G7-6790,0,1
./rcc_dataset/10X/BQ-5885/BQ-5885_151.tif,BQ-5885,0,1
./rcc_dataset/10X/B0-5812/B0-5812_111.tif,B0-5812,0,0
./rcc_dataset/10X/KO-8408/KO-8408_44.tif,KO-8408,0,2
./rcc_dataset/10X/Y8-A898/Y8-A898_71.tif,Y8-A898,0,1
./rcc_dataset/10X/KN-8432/KN-8432_133.tif,KN-8432,0,2
./rcc_dataset/10X/UW-A72L/UW-A72L_61.tif,UW-A72L,0,2
./rcc_dataset/10X/2Z-A9JO/2Z-A9JO_90.tif,2Z-A9JO,0,1
./rcc_dataset/10X/B8-4143/B8-4143_32.tif,B8-4143,0,0
./rcc_dataset/10X/B3-4104/B3-4104_131.tif,B3-4104,0,1
./rcc_dataset/10X/BP-4994/BP-4994_67.tif,BP-4994,0,0
./rcc_dataset/10X/KL-8328/KL-8328_191.tif,KL-8328,1,2
./rcc_dataset/10X/KV-A6GE/KV-A6GE_14.tif,KV-A6GE,1,1
./rcc_dataset/10X/B3-4104/B3-4104_21.tif,B3-4104,0,1
./rcc_dataset/10X/BQ-7046/BQ-7046_244.tif,BQ-7046,0,1
./rcc_dataset/10X/KN-8418/KN-8418_70.tif,KN-8418,0,2
./rcc_dataset/10X/BP-4994/BP-4994_22.tif,BP-4994,0,0
./rcc_dataset/10X/UW-A72I/UW-A72I_9.tif,UW-A72I,0,2
./rcc_dataset/10X/B0-5812/B0-5812_29.tif,B0-5812,0,0
./rcc_dataset/10X/BP-5178/BP-5178_55.tif,BP-5178,0,0
./rcc_dataset/10X/CJ-4904/CJ-4904_84.tif,CJ-4904,0,0
./rcc_dataset/10X/AL-3468/AL-3468_59.tif,AL-3468,0,1
./rcc_dataset/10X/A3-3336/A3-3336_142.tif,A3-3336,0,0
./rcc_dataset/10X/KL-8337/KL-8337_162.tif,KL-8337,1,2
./rcc_dataset/10X/B2-4102/B2-4102_178.tif,B2-4102,0,0
./rcc_dataset/10X/KO-8407/KO-8407_35.tif,KO-8407,0,2
