path,wsi,is_valid,label
.\sc_dataset\10X/138268/138268_14.tif,138268,1,0
.\sc_dataset\10X/149175/149175_7.tif,149175,0,1
.\sc_dataset\10X/149945/149945_182.tif,149945,0,1
.\sc_dataset\10X/1917266/1917266_229.tif,1917266,0,2
.\sc_dataset\10X/1612685/1612685_262.tif,1612685,0,0
.\sc_dataset\10X/138119/138119_2.tif,138119,1,0
.\sc_dataset\10X/149954/149954_156.tif,149954,0,1
.\sc_dataset\10X/126649/126649_133.tif,126649,0,0
.\sc_dataset\10X/1510834/1510834_143.tif,1510834,0,0
.\sc_dataset\10X/1916637/1916637_208.tif,1916637,0,1
.\sc_dataset\10X/1612378/1612378_78.tif,1612378,0,0
.\sc_dataset\10X/137181/137181_289.tif,137181,0,0
.\sc_dataset\10X/148831/148831_186.tif,148831,0,1
.\sc_dataset\10X/1815262/1815262_289.tif,1815262,0,1
.\sc_dataset\10X/149760/149760_21.tif,149760,0,2
.\sc_dataset\10X/1511067/1511067_128.tif,1511067,1,1
.\sc_dataset\10X/1814720/1814720_289.tif,1814720,0,1
.\sc_dataset\10X/126126/126126_157.tif,126126,0,0
.\sc_dataset\10X/1915940/1915940_233.tif,1915940,0,1
.\sc_dataset\10X/125960/125960_166.tif,125960,0,0
.\sc_dataset\10X/2017403/2017403_280.tif,2017403,1,1
.\sc_dataset\10X/149157/149157_47.tif,149157,1,0
.\sc_dataset\10X/126649/126649_171.tif,126649,0,0
.\sc_dataset\10X/137522/137522_264.tif,137522,0,1
.\sc_dataset\10X/149143/149143_204.tif,149143,0,1
.\sc_dataset\10X/1612412/1612412_281.tif,1612412,1,2
.\sc_dataset\10X/148639/148639_115.tif,148639,0,1
.\sc_dataset\10X/1713253/1713253_95.tif,1713253,0,0
.\sc_dataset\10X/2017440/2017440_67.tif,2017440,0,1
.\sc_dataset\10X/2017440/2017440_257.tif,2017440,0,1
.\sc_dataset\10X/138332/138332_31.tif,138332,1,0
.\sc_dataset\10X/2017440/2017440_218.tif,2017440,0,1
